Euler Angles: (16.6875, 13.75, -12.125) Lin Acceleration: (1.62, -3.09, 7.97) Gyro: (-1.4551682638502723, 2.2351122733352384, -1.9733128855360889) Lin Acceleration NoG: (-0.64, -4.62, -1.1400000000000001) Gravity: (2.09, 1.9100000000000001, 9.38) Time: 3.247957468032837
Euler Angles: (33.25, -1.75, -8.1875) Lin Acceleration: (1.18, 0.36, 7.46) Gyro: (-0.37306412761378793, 1.8773197766764007, -2.1925698728178764) Lin Acceleration NoG: (1.57, -1.22, -1.43) Gravity: (-0.51, 1.35, 9.69) Time: 3.3679275512695312
Euler Angles: (39.75, -12.1875, -7.9375) Lin Acceleration: (0.73, -1.21, 9.56) Gyro: (0.9021170571245691, 0.8268497331323136, -0.4636030825609938) Lin Acceleration NoG: (2.89, -2.61, 0.1) Gravity: (-2.15, 1.4000000000000001, 9.46) Time: 3.49029278755188
Euler Angles: (38.5625, -14.9375, -9.9375) Lin Acceleration: (0.56, -0.6, 10.03) Gyro: (0.5105088062083414, -0.35124751196385884, 0.6261368691529657) Lin Acceleration NoG: (3.04, -2.31, 0.7000000000000001) Gravity: (-2.48, 1.7, 9.33) Time: 3.609499216079712
Euler Angles: (30.25, -8.5, -14.125) Lin Acceleration: (0.54, -0.61, 9.1) Gyro: (0.18980455615438332, -0.9730210579868387, 1.9580412545811385) Lin Acceleration NoG: (1.86, -3.0300000000000002, -0.3) Gravity: (-1.31, 2.41, 9.41) Time: 3.731775999069214
Euler Angles: (14.5625, 5.1875, -13.8125) Lin Acceleration: (1.95, -2.71, 9.32) Gyro: (-0.07853981633974483, -1.5773413114898753, 2.7499844026735656) Lin Acceleration NoG: (0.79, -4.76, -0.25) Gravity: (1.09, 2.3000000000000003, 9.46) Time: 3.8505685329437256
Euler Angles: (3.625, 16.3125, -12.9375) Lin Acceleration: (2.14, -4.03, 8.84) Gyro: (0.08617563181722002, -0.681769239060285, 0.557414529855689) Lin Acceleration NoG: (-0.68, -6.140000000000001, -0.48) Gravity: (2.83, 2.1, 9.14) Time: 3.9703516960144043
Euler Angles: (10.5625, 14.0625, -15.9375) Lin Acceleration: (1.26, -3.61, 7.98) Gyro: (-0.42978732830360367, 0.7035858547102141, -1.8675022996339325) Lin Acceleration NoG: (-0.91, -6.01, -1.17) Gravity: (2.27, 2.61, 9.17) Time: 4.092319488525391
Euler Angles: (26.125, 2.0625, -12.125) Lin Acceleration: (1.21, -1.35, 9.01) Gyro: (-0.8999353955595761, 1.0090184738092218, -2.50236581504687) Lin Acceleration NoG: (0.8300000000000001, -3.18, -0.88) Gravity: (0.22, 2.0100000000000002, 9.59) Time: 4.210248708724976
Euler Angles: (38.0, -7.3125, -9.3125) Lin Acceleration: (1.59, 0.16, 10.59) Gyro: (-0.5748678223756323, 0.8933904108645975, -0.6435901616729091) Lin Acceleration NoG: (2.72, -1.67, 0.91) Gravity: (-1.34, 1.51, 9.59) Time: 4.331845045089722
